Category,Question,Response
RBF-KVM - 2,[RPL-PS] 68194 KVM Display Not Working,"Kindly ensure that SUT and OS support display functiaonality. 

Else, it might caused by 
1. faulty KVM and CIM connection.
2. Wrong display port.
3. Absent of rework to enable HDMI/DP ports
4. KVM node is not added in OneCloud. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
Ending,Thank you for the support!,Thanks for using RBF Chatbot! Have a nice day ! :)
RBF-Network - 2,[68385] Please flash on board mac address on SUT,"To update mac address in SUT, kindly follow the step below: 

1."
RBF-Network - 1,Please check the network connectivity of 68283 platform it is showing as not plugged.,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Network - 3,Please help to register mac address in DDI for cluster 68671,"To register IP for your system,

kindly file a ticket to RBF. "
RBF-Inventory - 1,65513 [BA] connect 4 16GB 1R Hynix dimms,"For requesting add new device and item to the system, please file to check the inventory. "
RBF-Debug - 4,Star helper script is not available ,Your host machine is not finishing the Post Software Installation. Kindly reimage your host machine. 
RBF-KVM - 2,Not Able to Open KVM of 68532,"Kindly ensure that SUT and OS support display functiaonality. 

Else, it might caused by 
1. faulty KVM and CIM connection.
2. Wrong display port.
3. Absent of rework to enable HDMI/DP ports
4. KVM node is not added in OneCloud. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-KVM - 3,I press keyboard in KVM but nothing show up ,"To resolve this issue, you may try the steps below: 
1. Go to top bar, click ""Input"" drop down list.
2. Select Mouse Mode
3. Click on any mouse mode then revert it to original. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Debug - 5,Why SUT cannot boot into uos server ,Kindly ensure that the network connection is connected to NIC and the bootfile details in DDI is correct. Wrong bootfile details might leads to wrong boot destination. 
RBF-Peripheral - 3,[RPL-SR] Unable to flash using TTK3 properly.,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 
4. Check TTK3 version. 
5. Check TTK3 configuration 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Debug - 4,I cant find any star folder in NUC ,Your host machine is not finishing the Post Software Installation. Kindly reimage your host machine. 
RBF-BKC update - 4,[PG][MTL-P][Help to reflash Lubuntu image for cluster 68624],"To prepare lubuntu pendrive, kindly file ticket to RBF. "
RBF-Network - 1,Not able to access NUC 68267,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Network - 1,Packet Generator cannot be access via SSH,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Debug - 9,68141: IFWI Flashing script not working. Flashing failed.,"There is few possibility causing this issue.
1. Testbed data incorrect. 
2. bootfile details in DDI is incorrect. 
3. Invalid BKM/ ifwi link 
4. Serial cable is not readable. 

Please ensure all the criteria is fullfilled. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  

"
RBF-Debug - 10,cannot F2 boot into bios menu ,"You may try to boot to BIOS with command in OS. 
Sudo systemctl reboot --firmware-setup"
RBF-Peripheral - 1,[PG] bios and bmc ports are not connecting to the cluster 68258,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-PDU - 1,Not able to power on or power off via PDU ,"PDU IP might be not accessible or the PDU details in OneCloud is wrong. 

kindly file a ticket to RBF for further troubleshooting.  "
RBF-Network - 1,For given cluster 65224 NUC was down,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-onecloud - 1,68675 - Need updating the PDU port in One Cloud,"To request correcting OneCloud Information or reservation, kindly file ticket to RBF. "
RBF-Peripheral - 1,65510 & 65513 Not able to login through BMC (KVM window not opening),"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Hotplug cable ports 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Debug - 11,apt-get update is not working ,"This issue might be caused by the proxy settings.

Please make sure the proxy settings as below: 
nano /etc/resolv.conf
	• Add this line in
	• nameserver 10.248.2.1
	• And Save
nano /etc/environment
	• Add this line in
	• http_proxy=http://proxy-dmz.intel.com:911
	• https_proxy=http://proxy-dmz.intel.com:912
	• export http_proxy https_proxy
And Save

If the issue still exists, kindly file a ticket to RBF for further troubleshooting."
RBF-Soft - 1,Need help to install web browser in Host 120859,"For software issue, 

please file a ticket to RBF. "
RBF-Soft - 1,Dell XR12 server cleanup required. Storage full,"For software issue, 

please file a ticket to RBF. "
RBF-Network - 2,How to get my onboard NIC mac address correctly? ,"To update mac address in SUT, kindly follow the step below: 

1."
RBF-Peripheral - 2,"[PG]68256, banino board is not connecting and com ports are also not working","To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Reboot NUC & SUT 
3. Update Babino Driver
4. Check Banino Connection 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Silicon Change - 1,"[BA] change #65453 silicon to XCC A1 VIS(Q3AY), flash IFWI(BKC14)","For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-BKC update - 3,Request to flash IFWI to SUT ,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 


"
RBF-Debug - 12,built in network card is not found ,"There is few possibility causing this issue.
1. Wrong IFWI used 
2. Faulty onboard NIC 
3. Rework might be required to enabled. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Silicon Change - 1,[HY}Swapp DIMMS between archer city board platform 66247 and 66236,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Debug - 2,What do I need for P2P connection from NUC to SUT,"To entablish P2P connection, kindly ensure the criteria below:
1. Flashed IFWI which supported onboard NIC and TSN.
2. Performed neccesary rework to enable TSN if required. 
3. Lan cable connection between two systems.
4. Enabled BIOS settings. 
(Intel Advanced Menu -> Intel Time Coordinated Computing -> Intel TCC Mode <enabled>)"
RBF-BKC update - 2,Follow up - BKC update fail on cluster 68616,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-Debug - 3,Share me PXE flashing BKM,"To setup PXE flashing, these are the steps: 
1. Connect lan cable to onboard NIC or added NIC card (I210 with flashed opprom, I215, I216) 
2. Register new mac address to DDI and update details in OneCloud. 
3. Resync testbed data
4. Enable Onboard NIC in BIOS setting (Intel Advanced Menu > PCH-IO Configuration > EFI Network > Choose Onboard NIC & WIFI) 
5. Set your PXEv4 boot as your first boot up option. 
6. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform PXE flashing. 
"
RBF-KVM - 1,Not able to access KVM SUT ID 588129,"To get KVM option in OneCloud, kindly file ticket to RBF for requesting adding KVM option. "
RBF-BKC update - 3,Enable system 68209 with M.2 NVME,"You can flash IFWI to SUT by yourself with the use of TTK3 or dediprog via flash_helper_script. 

Exmaple cmd: 
./flashing_ifwi.sh -os_name ubuntu -flash_type ttk -image_url IOTG_ADL_SR06_C2B1-ADPSXF2_RPSF_SEP5_01580518_2021WW50.5.0_ProdE3032_TSN1G1G_25MHz.bin

powershell -File flashing_ifwi.ps1 -image_url https://af01p-png.devtools.intel.com/artifactory/hspe-iotgfw-adl-png-local/MTL-PS/External/WW39.4'23/RVP_CRB/FabB_IFWI/IOTG_MTL_PR1B_C0NN-XODCA_RPRF_SEP5_01F5049A_2023WW35.3.1_FABB_BE332348.bin -flash_type ttk -os_name ubuntu -enable_pxe_boot

If there is no TTK3 or dediprog, kindly file ticket to RBF for requesting to add IFWI flashing device. 

"
RBF-BKC update - 2,Request to install Windows in RPLS NVME RBF PG cluster ID: 68308,"You can flash window OS, ubuntu OS to SUT via flash_helper_script. 

If required to flash no BKC image, kindly file ticket to RBF for request. "
RBF-Network - 1,"Cluster 68617,cannot connect to system 499711 through ssh.","There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Serial - 1,[HY]Please check the COM ports of 66235 platform not detecting,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Network - 1,10.49.76.131 is not reachable,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Silicon Change - 1,Request help to change silicon on RBF RPL-P systems,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Serial - 1,[MTL-P][FSV][BIOS][68638] - Not able to open COM6 serial port,"You may try these to solve serial issue. 
Window NUC
1. Restart NUC
2. Enable/disable the ports in Device Manager
3. Hotplug serial cables 
4. Try other USB port

Linux NUC
1. Restart NUC
2. Perform 
sudo screen -list 
sudo kill <screen session> 
3. Hotplug serial cables 
4. Try other USB port

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Peripheral - 4,[HYD][DPMO] 66337 In system ITP unlock is not working and showing no devices to unlock,"To resolve this issue, you may try 
1. Enable/disable the ports in Device Manager
2. Check ITP connection
3. Change USB port
4. Reinstall driver.
5. run python update_tools 
If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-VNC - 1,Not able to access VNC ,"You can try to fix the VNC issue in your host machine as below: 

1. ps -ef | grep vnc ----> to see which VNC services are running.
2. pkill <vnc session id>
3. reboot NUC

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Debug - 5,unable to boot into uos server ,Kindly ensure that the network connection is connected to NIC and the bootfile details in DDI is correct. Wrong bootfile details might leads to wrong boot destination. 
RBF-VNC - 1,[PG]Unable to connect to 68221 via vnc,"You can try to fix the VNC issue in your host machine as below: 

1. ps -ef | grep vnc ----> to see which VNC services are running.
2. pkill <vnc session id>
3. reboot NUC

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  "
RBF-Network - 1,IP not found in PG RBF setups,"There is few posibility which causing this issue.  
1. Missing SSH service.
2. Loss internet connection. 
3. System is not booting into OS. 
4. System is leasing another IP address. 

Please try to reboot your system and make sure SSH service is running in the system. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting. "
RBF-Silicon Change - 1,65233 silicon swap and IFWI update,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Silicon Change - 1,Need to change CPU : Q40R PCH : Q191 in 65309,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
RBF-Silicon Change - 1,Look for silicon availability and change the silicon for RPL-SR cluster,"For requesting swapping silicon, please file a ticket to RBF and clearly state the QDF. "
Ending,Thanks again!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your help on this.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your time.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks for your time and support!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks again!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your time.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your time.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your input!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks for your time and support!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,"Thanks, you've been great!",Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thank you for your help!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Appreciate your quick response.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I'm grateful for your help.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thank you for your help!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,"Thank you, that was helpful.",Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Appreciate your quick response.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Appreciate your quick response.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thank you for the support!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,"Thank you, have a good day!",Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,"Thank you, have a great day!",Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your help on this.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your help on this.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Appreciate your quick response.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,"Thanks, you've been great!",Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks for your patience.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks again!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks a bunch!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks again!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your input!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks a lot!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks a bunch!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thank you for your help!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your help on this.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks again!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Appreciate your quick response.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks for your time and support!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your help on this.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,"Thanks, you've been great!",Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks a lot!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thank you for the support!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your input!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thanks for your time and support!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your input!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thank you for your help!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I'm grateful for your help.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,"Thank you, have a good day!",Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your input!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Appreciate your quick response.,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,Thank you for your help!,Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,"Thank you, have a good day!",Thanks for using RBF Chatbot! Have a nice day ! :)
Ending,I appreciate your input!,Thanks for using RBF Chatbot! Have a nice day ! :)
Greetings,"Hi, can you guide me on a task?","yes, how may I help you? "
Greetings,"Hello, I'm having a problem.","yes, how may I help you? "
Greetings,"Hey there, I could use some assistance with a task.","yes, how may I help you? "
Greetings,"Hello, I'm trying to figure out something.","yes, how may I help you? "
Greetings,"Hi, can you guide me on a task?","yes, how may I help you? "
Greetings,"Hello, I'm trying to figure out something.","yes, how may I help you? "
Greetings,"Hello, I'm having a problem.","yes, how may I help you? "
Greetings,"Hello, can you assist me with something?","yes, how may I help you? "
Greetings,"Hi, I have a question.","yes, how may I help you? "
Greetings,"Hey there, I could use some assistance with a task.","yes, how may I help you? "
Greetings,"Hello, can you assist me with something?","yes, how may I help you? "
Greetings,"Hi, I'm not sure what to do in this situation.","yes, how may I help you? "
Greetings,"Hey there, I could use some assistance with a task.","yes, how may I help you? "
Greetings,"Hello, can you assist me with something?","yes, how may I help you? "
Greetings,"Hello, I'm looking for some information.","yes, how may I help you? "
Greetings,"Hey, I have a specific question.","yes, how may I help you? "
Greetings,"Hi, I'm not sure what to do in this situation.","yes, how may I help you? "
Greetings,"Hello, I'm looking for some information.","yes, how may I help you? "
Greetings,"Hey, I'm encountering a problem and could use some help.","yes, how may I help you? "
Greetings,"Hello, I'm trying to figure out something.","yes, how may I help you? "
Greetings,"Hi, can you point me in the right direction?","yes, how may I help you? "
Greetings,"Hey, I'm a bit confused and could use some clarification.","yes, how may I help you? "
Greetings,"Hello, I'm trying to figure out something.","yes, how may I help you? "
Greetings,"Hi there, is this where I can get support?","yes, how may I help you? "
Greetings,"Hi there, is this where I can get support?","yes, how may I help you? "
Greetings,"Hello, I'm looking for some information.","yes, how may I help you? "
Greetings,"Hello, could you answer a question for me?","yes, how may I help you? "
Greetings,"Hi there, I'm seeking your advice.","yes, how may I help you? "
Greetings,"Hey, I have a specific question.","yes, how may I help you? "
Greetings,"Hi, I'm not sure what to do in this situation.","yes, how may I help you? "
Greetings,"Hey, I have a specific question.","yes, how may I help you? "
Greetings,"Hi, I'm not sure what to do in this situation.","yes, how may I help you? "
Greetings,"Hello, I'm trying to figure out something.","yes, how may I help you? "
Greetings,"Hey, I'm encountering a problem and could use some help.","yes, how may I help you? "
Greetings,"Hey, I need help with an issue.","yes, how may I help you? "
Greetings,"Hello, I'm looking for some information.","yes, how may I help you? "
Greetings,"Hello, I'm having a problem.","yes, how may I help you? "
Greetings,"Hello, could you answer a question for me?","yes, how may I help you? "
Greetings,"Hi there, is this where I can get support?","yes, how may I help you? "
Greetings,"Hey, I'm encountering a problem and could use some help.","yes, how may I help you? "
Greetings,"Hello, I'm trying to figure out something.","yes, how may I help you? "
Greetings,"Hi there, is this where I can get support?","yes, how may I help you? "
Greetings,"Hello, I'm looking for some information.","yes, how may I help you? "
Greetings,"Hi there, is this where I can get support?","yes, how may I help you? "
Greetings,"Hello, could you answer a question for me?","yes, how may I help you? "
Greetings,"Hey there, I could use some assistance with a task.","yes, how may I help you? "
Greetings,"Hi, can you guide me on a task?","yes, how may I help you? "
Greetings,"Hi there, is this where I can get support?","yes, how may I help you? "
Greetings,"Hello, I'm looking for some information.","yes, how may I help you? "
Greetings,"Hello, could you answer a question for me?","yes, how may I help you? "
RBF-BKC update - 1,Re-image NUC to Windows OS for cluster 68103,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,Re-image NUC to Windows OS for cluster 68103,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,Re-image NUC to Windows OS for cluster 68103,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,"Request to flash window OS, ubuntu OS to NUC or host machine ","To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,66311 [DPMO] [HY] install windows os in Nuc,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,Re-image NUC to Windows OS for cluster 68103,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,Re-image NUC to Windows OS for cluster 68103,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,need to reflash both SUT and NUC of 66222,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,[MTL-P][UBUNTU]NUC 68603 was corrupted.,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
RBF-BKC update - 1,please flash windows in NUC for cluster ID 68128 & 68141,"To flash window OS, ubuntu OS to NUC, you can perform via OneCloud. 

For steps, you may refer to this wiki link: 
https://wiki.ith.intel.com/display/RBdFarm/NUC+Host+OS+Flashing+-+OneCloud"
